,x,y,z,mae
399,REP-BTC,0,4,1.3461308896570496
400,REP-BTC,0,5,1.354623990741244
401,REP-BTC,0,6,1.357904661500763
402,REP-BTC,1,1,1.289312761673602
403,REP-BTC,1,2,1.2127856972873363
404,REP-BTC,1,3,0.9049880763754512
405,REP-BTC,1,4,0.9029547681971722
406,REP-BTC,1,5,0.893254851433326
407,REP-BTC,1,6,0.8616955980837969
408,REP-BTC,2,1,0.8656708129135496
409,REP-BTC,2,2,0.6618148863086853
410,REP-BTC,2,3,0.6644949170731573
411,REP-BTC,2,4,0.6685222789497297
412,REP-BTC,2,5,0.6713110357596866
413,REP-BTC,2,6,0.6276809690201315
414,REP-BTC,3,1,0.5524549432468078
415,REP-BTC,3,2,0.5533114035776998
416,REP-BTC,3,3,0.5405973903916328
417,REP-BTC,3,4,0.5381815292844843
418,REP-BTC,3,5,0.5337791890963556
419,REP-BTC,3,6,0.5241263389589313
420,REP-ETH,REP-GBP,1,0.7675255657092341
421,REP-ETH,REP-GBP,2,0.7626884298754744
422,REP-ETH,REP-GBP,3,0.671502236330153
423,REP-ETH,REP-GBP,4,0.6599327774537962
424,REP-ETH,REP-GBP,5,0.6585980728720037
425,REP-ETH,REP-GBP,6,0.6524271937571988
426,REP-ETH,XLM-BTC,1,0.7885608502732099
427,REP-ETH,XLM-BTC,2,0.78708138087797
428,REP-ETH,XLM-BTC,3,0.5763125305396323
429,REP-ETH,XLM-BTC,4,0.534728761922038
430,REP-ETH,XLM-BTC,5,0.5317981637948715
431,REP-ETH,XLM-BTC,6,0.5327983415864843
432,REP-ETH,XLM-ETH,1,0.8885027943917576
433,REP-ETH,XLM-ETH,2,0.7901980329963785
434,REP-ETH,XLM-ETH,3,0.3056834454189365
435,REP-ETH,XLM-ETH,4,0.23169587693111274
436,REP-ETH,XLM-ETH,5,0.2301195800119191
437,REP-ETH,XLM-ETH,6,0.216033787159913
438,REP-ETH,XLM-GBP,1,0.8315536250137958
439,REP-ETH,XLM-GBP,2,0.6452049902988234
440,REP-ETH,XLM-GBP,3,0.6325249222963099
441,REP-ETH,XLM-GBP,4,0.6359658745318039
442,REP-ETH,XLM-GBP,5,0.6158435604139492
443,REP-ETH,XLM-GBP,6,0.5996522009008542
444,REP-ETH,SOL-BTC,1,0.8692041018747748
445,REP-ETH,SOL-BTC,2,0.8379965782728925
446,REP-ETH,SOL-BTC,3,0.5167620280187927
447,REP-ETH,SOL-BTC,4,0.38753766416475066
448,REP-ETH,SOL-BTC,5,0.36361838487644654
449,REP-ETH,SOL-BTC,6,0.36846674268316915
450,REP-ETH,SOL-ETH,1,0.8739820779228039
451,REP-ETH,SOL-ETH,2,0.84019742100257
452,REP-ETH,SOL-ETH,3,0.5474787884018525
453,REP-ETH,SOL-ETH,4,0.4259846023332525
454,REP-ETH,SOL-ETH,5,0.4118521054592315
455,REP-ETH,SOL-ETH,6,0.41676498426737235
456,REP-ETH,SOL-GBP,1,0.8014850181514421
457,REP-ETH,SOL-GBP,2,0.7815633347844744
458,REP-ETH,SOL-GBP,3,0.5971553967059255
459,REP-ETH,SOL-GBP,4,0.4977244521473515
460,REP-ETH,SOL-GBP,5,0.4724390321730298
461,REP-ETH,SOL-GBP,6,0.4731038313261119
462,REP-ETH,0,1,2.487427455734083
463,REP-ETH,0,2,2.1286959902404377
464,REP-ETH,0,3,1.1967658293346153
465,REP-ETH,0,4,0.9942176842063671
466,REP-ETH,0,5,0.9301020394889964
467,REP-ETH,0,6,0.919800215944595
468,REP-ETH,1,1,1.289312761673602
469,REP-ETH,1,2,1.2451769294055222
470,REP-ETH,1,3,1.049059367905245
471,REP-ETH,1,4,1.0083046694910265
472,REP-ETH,1,5,1.004950521667614
473,REP-ETH,1,6,0.9886690126134154
474,REP-ETH,2,1,0.8656708129135496
475,REP-ETH,2,2,0.6303315799151322
476,REP-ETH,2,3,0.6258856826171428
477,REP-ETH,2,4,0.6091169559065923
478,REP-ETH,2,5,0.6147174166413112
479,REP-ETH,2,6,0.6077101677989976
480,REP-ETH,3,1,0.5524549432468078
481,REP-ETH,3,2,0.5554963457705392
482,REP-ETH,3,3,0.548271012746365
483,REP-ETH,3,4,0.5513361880434313
484,REP-ETH,3,5,0.5237048276671565
485,REP-ETH,3,6,0.496519567772529
486,REP-GBP,XLM-BTC,1,0.7885608502732099
487,REP-GBP,XLM-BTC,2,0.783304361363641
488,REP-GBP,XLM-BTC,3,0.7127322997930151
489,REP-GBP,XLM-BTC,4,0.6769830909894258
490,REP-GBP,XLM-BTC,5,0.6773671745666799
491,REP-GBP,XLM-BTC,6,0.6513001197964705
492,REP-GBP,XLM-ETH,1,0.8885027943917576
493,REP-GBP,XLM-ETH,2,0.8668871344650145
494,REP-GBP,XLM-ETH,3,0.8035384085821367
495,REP-GBP,XLM-ETH,4,0.7830379988140685
496,REP-GBP,XLM-ETH,5,0.7814557840515372
497,REP-GBP,XLM-ETH,6,0.7759236677227257
498,REP-GBP,XLM-GBP,1,0.8315536250137958
499,REP-GBP,XLM-GBP,2,0.8328094033752527
500,REP-GBP,XLM-GBP,3,0.7419747115270933
501,REP-GBP,XLM-GBP,4,0.5724127504133419
502,REP-GBP,XLM-GBP,5,0.5778763174717343
503,REP-GBP,XLM-GBP,6,0.5306217261544296
504,REP-GBP,SOL-BTC,1,0.8692041018747748
505,REP-GBP,SOL-BTC,2,0.865983712780525
506,REP-GBP,SOL-BTC,3,0.8497466651608494
